player_first_name,player_last_name,team_name,position,overall_rank,position_rank
c.j.,uzomah,NYJ,TE,257,37
danny,gray,SF,WR,258,104
foster,moreau,LV,TE,259,38
tony,jones jr.,NO,RB,260,76
tylan,wallace,BAL,WR,261,105
hayden,hurst,CIN,TE,262,39
taylor,heinicke,WAS,QB,263,43
kendrick,bourne,NE,WR,264,106
jordan,love,GB,QB,265,44
noah,gray,KC,TE,266,40
tyrod,taylor,NYG,QB,267,45
nelson,agholor,NE,WR,268,107
eric,ebron,FA,TE,269,41
ke'shawn,vaughn,TB,RB,270,77
tre'quan,smith,NO,WR,271,108
tyler,conklin,NYJ,TE,272,42
braxton,berrios,NYJ,WR,273,109
charlie,kolar,BAL,TE,274,43
kellen,mond,MIN,QB,275,46
james,white,NE,RB,276,78
randall,cobb,GB,WR,277,110
donald,parham,LAC,TE,278,44
a.j.,green,FA,WR,279,111
antonio,brown,FA,WR,280,112
o.j.,howard,BUF,TE,281,45
keaontay,ingram,ARI,RB,282,79
denzel,mims,NYJ,WR,283,113
mo-alie,cox,IND,TE,284,46
cole,beasley,FA,WR,285,114
teddy,bridgewater,MIA,QB,286,47
john,bates,WAS,TE,287,47
tyler,johnson,TB,WR,288,115
josiah,deguara,GB,TE,289,48
case,keenum,BUF,QB,290,48
laquon,treadwell,JAC,WR,291,116
isaiah,likely,BAL,TE,292,49
dontrell,hilliard,TEN,RB,293,80
jalen,guyton,LAC,WR,294,117
jacob,eason,SEA,QB,295,49
tre',mckitty,LAC,TE,296,50
andy,dalton,NO,QB,297,50
antoine,wesley,ARI,WR,298,118
nick,westbrook-ikhine,TEN,WR,299,119
devin,duvernay,BAL,WR,300,120
justin,tucker,BAL,K,301,1
tyler,bass,BUF,K,302,2
evan,mcpherson,CIN,K,303,3
buffalo,bills,BUF,DST,304,1
tampa bay,buccaneers,TB,DST,305,2
san francisco,49ers,SF,DST,306,3
daniel,carlson,LV,K,307,4
indianapolis,colts,IND,DST,308,4
matt,gay,LAR,K,309,5
los angeles,rams,LAR,DST,310,5
harrison,butker,KC,K,311,6
denver,broncos,DEN,DST,312,6
ryan,succop,TB,K,313,7
los angeles,chargers,LAC,DST,314,7
rodrigo,blankenship,IND,K,315,8
green bay,packers,GB,DST,316,8
matt,prater,ARI,K,317,9
philadelphia,eagles,PHI,DST,318,9
brandon,mcmanus,DEN,K,319,10
baltimore,ravens,BAL,DST,320,10
